
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001993                       # Number of seconds simulated (Second)
simTicks                                   1992649500                       # Number of ticks simulated (Tick)
finalTick                                  1992649500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    184.59                       # Real time elapsed on the host (Second)
hostTickRate                                 10795047                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1208188                       # Number of bytes of host memory used (Byte)
simInsts                                      5515188                       # Number of instructions simulated (Count)
simOps                                       10313306                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    29878                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55872                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3985300                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11324211                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       90                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11073058                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5180                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1010989                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1396130                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3800825                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.913330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.571563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1117159     29.39%     29.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    297122      7.82%     37.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    435612     11.46%     48.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    423758     11.15%     59.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    380099     10.00%     69.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    387097     10.18%     80.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    338547      8.91%     88.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    225173      5.92%     94.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    196258      5.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3800825                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   99559     75.09%     75.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     75.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     75.09% # attempts to use FU when none available (Count)
